,Unnamed: 0,CODE_SALESROOM,NAME_SALESROOM,NUM_LONGITUDE,NUM_LATITUDE,NAME_DISTRICT,Business
107,708,66559,牛波士科技-通信市场店,114.09383999999999,22.54867,福田区,"上步,华强北,振华路"
108,730,66506,苹果专卖店-蛇口店,113.95071999999999,22.558887,南山区,"科技园,南山医院,大冲"
109,1714,68036,全盛时代科技华强北店,114.09388999999999,22.54972,福田区,"振华路,上步,华强北"
110,2905,69486,荣昇智酷实业（深圳）有限公司,113.975426,22.539927,南山区,"深圳湾,白石洲,华侨城"
111,3,63894,三星手机店,114.09344499999999,22.548745999999998,福田区,"上步,华强北,振华路"
112,615,66659,深圳百海川科技有限公司,114.049774,22.625265,龙岗区,"民治,潜龙花园"
113,1359,67599,深圳邦珺科技有限公司-六约店,114.20511,22.647942999999998,龙岗区,横岗
114,1424,67598,深圳邦珺科技有限公司-沙头角店,114.27848,22.606981,盐田区,
115,3177,69576,深圳邦珺科技有限公司-沙头角二分店,114.2386,22.558033,盐田区,沙头角
116,1361,67600,深圳邦珺科技有限公司-西乡店,113.89003999999998,22.586689,宝安区,"西乡,新安,翻身路"
117,3173,69716,深圳邦珺科技有限公司-下十围店,113.83405,22.654572,宝安区,福永
118,1358,67597,深圳邦珺科技有限公司-嶂背店,114.237305,22.709885,龙岗区,
119,2115,68510,深圳宝安区石岩盛妆腾达手机店—石岩店,113.93688999999999,22.6796,宝安区,石岩
120,1706,65659,深圳宝安无预约移动办理点（宝安、光明新区）,113.89063999999999,22.563713,福田,"翻身路,新安"
121,1527,67739,深圳富盈口腔门诊部有限公司-南昌店,113.854454,22.598389,宝安区,
122,3180,69786,深圳广大通讯有限公司—鹤洲店,113.89003999999998,22.586689,宝安区,"西乡,新安,翻身路"
123,2292,68773,深圳国宾腾飞贸易有限公司,114.163155,22.658869,龙岗区,
124,2468,68944,深圳果粉电子贸易有限公司,114.1046,22.572123,罗湖区,"银湖,泥岗,笋岗"
125,2749,69359,深圳和来达商贸有限公司-梅林电信店,114.04951000000001,22.569563,福田区,"下梅林,上梅林,莲花北村"
126,424,64680,深圳恒波商业连锁公司福永塘尾合作厅,113.816055,22.70875,宝安区,
127,2168,68596,深圳恒成汇网络通信有限公司-福田店,114.07766000000001,22.54261,福田区,"岗厦,福华新村,皇岗"
128,1293,67447,深圳吉桂兴电子有限公司松岗红星店,113.843796,22.766904999999998,宝安区,松岗
129,747,66735,深圳佳诚通讯有限公司,113.83478500000001,22.680088,宝安区,福永
130,1106,67049,深圳佳诚通讯有限公司-固戍2分店,113.86078,22.60825,宝安区,
131,1125,67024,深圳九方购物中心店,114.09066999999999,22.54928,福田区,"华强北,振华路,上步"
132,1417,67468,深圳凯鹏通讯数码科技有限公司,114.31898500000001,22.718037,龙岗区,
133,1840,68244,深圳酷钉科技有限公司-宝华店,114.092575,22.549097,福田区,"华强北,上步,振华路"
134,1967,68335,深圳酷钉科技有限公司-华强店,114.09227,22.55315,福田区,"华强北,上步,振华路"
135,2630,69183,深圳乐语通讯设备有限公司-滨海大道岁宝店,113.98921999999999,22.5262,南山区,"深圳湾,华侨城,白石洲"
136,2642,69188,深圳乐语通讯设备有限公司-滨河路岁宝店,114.03133000000001,22.53454,福田区,"下沙,沙头,车公庙"
137,2834,69408,深圳乐语通讯设备有限公司--春风店,114.1337,22.547710000000002,罗湖区,"火车站,文锦渡,东门"
138,2836,69406,深圳乐语通讯设备有限公司--翠竹店,114.13604,22.56643,罗湖区,"翠竹,田贝,留医部"
139,2576,69158,深圳乐语通讯设备有限公司-东环二路大润发店,114.05568999999998,22.653028,龙华区,"龙华,民治,锦绣江南"
140,2843,69407,深圳乐语通讯设备有限公司--福民店,114.063354,22.529709,福田区,"福田区委,皇岗,福华新村"
141,2578,69145,深圳乐语通讯设备有限公司—工业大道沃尔玛店,113.9263,22.495495000000002,南山区,"蛇口,海上世界,招商大厦"
142,2641,69182,深圳乐语通讯设备有限公司-红岭南路岁宝店,114.11115,22.547005,福田区,"中信广场,蔡屋围,宝安南路沿线"
143,2629,69186,深圳乐语通讯设备有限公司-金田南路人人乐店,114.07099,22.527294,福田区,"皇岗,福民新村,福田区委"
144,2850,69404,深圳乐语通讯设备有限公司--锦龙店,114.13421000000001,22.604422,龙岗区,"布吉,龙珠花园,理想新城"
145,2622,69184,深圳乐语通讯设备有限公司-景田南路岁宝店,114.05022,22.549381,福田区,"香蜜湖,景田,莲花北村"
146,2632,69185,深圳乐语通讯设备有限公司-聚福路岁宝店,114.1788,22.568094,罗湖区,莲塘
147,2631,69189,深圳乐语通讯设备有限公司-龙岗大道沃尔玛店,114.21666,22.65543,龙岗区,横岗
148,2628,69187,深圳乐语通讯设备有限公司-龙翔大道华润万家店,114.25249,22.723648,龙岗区,
149,2621,69144,深圳乐语通讯设备有限公司—龙珠大道岁宝店,113.99205,22.563608,南山区,"桃源村,华侨城,深圳湾"
150,2597,69155,深圳乐语通讯设备有限公司-民治大道大润发店,114.04616999999999,22.627482999999998,龙华区,"民治,潜龙花园"
151,2607,69157,深圳乐语通讯设备有限公司-人民北路华润万家店,114.0337,22.648378,宝安区,"龙华,锦绣江南,民治"
152,2590,69154,深圳乐语通讯设备有限公司-人民南路沃尔玛店,114.02946499999999,22.635061,宝安区,"锦绣江南,民治,龙华"
153,2584,69147,深圳乐语通讯设备有限公司—沙河西路人人乐店,113.98938000000001,22.590498,南山区,西丽
154,3156,69829,深圳乐语通讯设备有限公司沙井西荟城店,114.02755,22.658910000000002,宝安区,"龙华,美丽365花园"
155,2579,69146,深圳乐语通讯设备有限公司—学府路人人乐店,113.93213,22.532778,南山区,"南头,南山医院,桂庙路口"
156,274,61923,深圳乐语通讯设备有限公司益群坪山店,114.35463,22.695423,龙岗区,坪山
157,66,64860,深圳林宏创科技有限公司,114.09278,22.645364999999998,龙岗区,
158,492,66485,深圳龙岗区横岗鑫隆林手机配件店-大康苹果店,114.20511,22.647942999999998,龙岗区,横岗
159,1707,65657,深圳龙岗无预约移动办理点（龙岗区）,114.14732,22.61775,福田,"桂芳园,大芬村,布吉"
160,2756,69228,深圳龙华区龙华梦涵手机商行,114.02427,22.667547,龙华区,"龙华,美丽365花园"
161,1709,65658,深圳龙华新区无预约移动办理点（龙华新区）,114.02295,22.667858,福田,"龙华,美丽365花园"
162,2250,68776,深圳美超电器有限公司,114.2061,22.650423,龙岗区,横岗
163,562,65618,深圳牛帮手电商有限公司-25,114.09315,22.554878,福田区,"华强北,上步,白沙岭"
164,2637,69200,深圳坪山区鑫宇数码商行,114.40938600000001,22.772753,坪山区,
165,1389,67481,深圳坪山新区常兴龙手机配件店,114.28593000000001,22.67115,坪山区,
166,1831,68241,深圳坪山新区龙佳数码通讯店,114.38193000000001,22.753925,坪山区,
167,1708,65660,深圳坪山新区无预约移动办理点（大鹏新区、坪山新区）,114.28589,22.737820000000003,福田,
168,3232,69768,深圳千星数码科技有限公司—华强北店,114.09421499999999,22.552217000000002,福田区,"华强北,上步,振华路"
169,3233,69769,深圳千星数码科技有限公司—西丽店,113.96172,22.583773,南山区,西丽
170,2780,69381,深圳前海惠众天下物联网科技有限公司-赛格店,114.09427,22.546497,福田区,"上步,华强北,赤尾"
171,627,66747,深圳润之源创业二路经营店,113.91756000000001,22.580814,宝安区,新安
172,974,65394,深圳润之源投资发展有限公司-布吉店,114.1313,22.615654,龙岗区,"布吉,龙珠花园,桂芳园"
173,3085,69697,深圳润之源投资发展有限公司富康经营部,113.881424,22.78779,宝安区,松岗
174,1568,67804,深圳润之源投资发展有限公司盛地龙泉经营部,114.03263000000001,22.656368,龙华区,"龙华,美丽365花园"
175,648,63766,深圳润之源投资发展有限公司-松岗永辉超市店,113.85385,22.772484,宝安区,松岗
176,554,66590,深圳润之源投资发展有限公司-万荟城店,113.88883,22.604032999999998,宝安区,西乡
177,1696,67834,深圳偌芯电子有限公司-和一分店,113.81201999999999,22.744864,宝安区,沙井
178,1697,67835,深圳偌芯电子有限公司-华为分店,113.81201999999999,22.744864,宝安区,沙井
179,2974,69558,深圳偌芯电子有限公司-六约形象店,114.19583,22.642585999999998,龙岗区,横岗
180,83,64338,深圳偌芯电子有限公司西丽店,113.96100600000001,22.583088,南山区,西丽
181,1193,67191,深圳世纪华腾华为—东门体验店,114.12799,22.550504999999998,罗湖区,"东门,火车站,国贸"
182,2807,69466,深圳世纪华腾华为-太阳百货店,114.12498000000001,22.551907999999997,罗湖区,"东门,蔡屋围,国贸"
